(643864, 'JAN', 2000)
(764652, 'DEC', 2000)
(45456, 'NOV', 2000)
(975345, 'OCT', 2000)
(234556, 'SEP', 2000)
(87654, 'AUG', 2000)
(233546, 'JLY', 2000)
(786753, 'JUN', 2000)
(34546, 'MAY', 2000)
(765543, 'APR', 2000)
(343565, 'MAR', 2000)
(347654, 'FEB', 2000)
(1234234, 'AUG', 2001)
(546424, 'SEP', 2001)
(123324324, 'OCT', 2001)
(75452, 'NOV', 2001)
(1233243, 'DEC', 2001)
(75656543, 'JLY', 2001)
(4324221, 'JUN', 2001)
(7664334, 'MAY', 2001)
(234354, 'APR', 2001)
(65434, 'MAR', 2001)
(865433, 'FEB', 2001)
(3245645, 'JAN', 2001)
(43245454, 'AUG', 2002)
(744454, 'SEP', 2002)
(44355685, 'OCT', 2002)
(7546323, 'NOV', 2002)
(2343255, 'DEC', 2002)
(8654532, 'JLY', 2002)
(43554634, 'JUN', 2002)
(87654345, 'MAY', 2002)
(2344545, 'APR', 2002)
(65675, 'MAR', 2002)
(76545332, 'FEB', 2002)
(6554332, 'JAN', 2002)
(234324, 'AUG', 2004)
(655432, 'SEP', 2004)
(243545, 'OCT', 2004)
(6564532, 'NOV', 2004)
(243243, 'DEC', 2004)
(655432, 'JLY', 2004)
(234324, 'JUN', 2004)
(76534322, 'JAN', 2004)
(6545435, 'FEB', 2004)
(8756543, 'MAR', 2004)
(234354, 'APR', 2004)
(564653, 'MAY', 2004)
(6754232, 'NOV', 2005)
(6543234, 'OCT', 2005)
(2354435, 'SEP', 2005)
(975453, 'AUG', 2005)
(7544567, 'JLY', 2005)
(213214, 'JUN', 2005)
(653324, 'MAY', 2005)
(65432, 'APR', 2005)
(233434, 'MAR', 2005)
(7654345, 'FEB', 2005)
(65432, 'JAN', 2005)
(7543345, 'DEC', 2005)
